timestamp,ax,ay,az,gx,gy,gz,label
0.000000,0.011069,-0.024988,0.075635,-0.365039,0.074971,0.046084,noise
0.020068,-0.008622,-0.029501,0.089865,-0.563989,0.170258,0.049010,noise
0.040136,0.011081,0.003066,-0.017347,-0.509800,0.190946,0.095870,noise
0.060205,0.056019,0.001241,-0.084066,-0.268894,0.031325,0.111493,noise
0.080273,0.055829,-0.003865,-0.063183,-0.112598,-0.072078,0.162366,noise
0.100341,0.028331,-0.016841,-0.004418,-0.180065,-0.063308,0.200454,noise
0.120409,0.010984,-0.011078,0.016560,-0.270371,0.027710,0.207136,noise
0.140478,0.028553,0.011152,-0.078195,-0.073922,0.102974,0.212740,noise
0.160546,0.061734,0.010316,-0.111524,0.206542,0.105619,0.214286,noise
0.180614,0.070834,0.005889,-0.078758,0.346780,0.112071,0.198519,noise
0.200682,0.064850,-0.001547,-0.026288,0.334321,0.165043,0.233225,noise
0.220751,0.042208,-0.004109,0.041835,0.197695,0.239703,0.307622,noise
0.240819,0.042643,0.008892,0.089642,-0.003948,0.330590,0.363522,noise
0.260887,0.026907,0.025035,0.057885,-0.040240,0.314450,0.414441,noise
0.280955,0.031184,0.035096,0.031079,0.005081,0.313345,0.430090,noise
0.301024,0.039238,0.020779,0.003992,0.094100,0.458945,0.440961,noise
0.321092,0.085666,-0.001637,0.003744,0.192423,0.617715,0.442609,noise
0.341160,0.134148,-0.026162,-0.003392,0.314124,0.639762,0.457049,noise
0.361228,0.161488,-0.006651,0.001468,0.435993,0.542581,0.548226,noise
0.381297,0.153339,0.019514,0.025229,0.359180,0.469143,0.632562,noise
0.401365,0.124632,0.048196,0.041017,0.162127,0.423000,0.635741,noise
0.421433,0.145929,0.056613,0.023551,0.030022,0.214820,0.590421,noise
0.441501,0.124154,0.066762,0.029632,-0.022931,-0.056886,0.615550,noise
0.461570,0.096570,0.061201,0.106445,-0.206408,-0.500496,0.621241,noise
0.481638,0.047549,0.077997,0.155725,-0.541783,-0.828472,0.621633,noise
0.501706,0.002650,0.069281,0.181414,-0.742450,-0.892447,0.690543,noise
0.521774,-0.049444,0.068489,0.183567,-0.783378,-0.725168,0.789070,noise
0.541843,-0.114565,0.068863,0.192421,-0.875267,-0.562887,0.829140,noise
0.561911,-0.189642,0.052101,0.208685,-1.152263,-0.572932,0.832966,noise
0.581979,-0.216677,-0.007668,0.161036,-1.524331,-0.927293,0.761529,noise
0.602047,-0.251051,-0.079656,0.055947,-1.803449,-1.470009,0.610396,noise
0.622116,-0.240401,-0.129841,-0.045190,-2.030944,-1.872540,0.375593,noise
0.642184,-0.206642,-0.159726,-0.112279,-2.240278,-1.914892,0.142526,noise
0.662252,-0.176993,-0.152031,-0.169989,-2.181306,-1.694251,0.036110,noise
0.682320,-0.136133,-0.126007,-0.194791,-1.783067,-1.376134,0.005003,noise
0.702389,-0.109349,-0.072170,-0.186980,-1.178934,-0.958100,0.056610,noise
0.722457,-0.110766,-0.017575,-0.158229,-0.532243,-0.470506,0.119688,noise
0.742525,-0.098699,0.027922,-0.108806,-0.009282,0.017320,0.143397,noise
0.762593,-0.083791,0.064980,-0.066533,0.262083,0.455686,0.126957,noise
0.782662,-0.125240,0.065103,-0.037410,0.362454,0.688168,0.020040,noise
0.802730,-0.139969,0.064714,-0.008690,0.361531,0.770191,-0.163434,noise
0.822798,-0.100612,0.065988,-0.044930,0.375307,0.920955,-0.305746,noise
0.842866,-0.065355,0.094824,-0.174846,0.719022,1.284106,-0.361869,noise
0.862935,0.041975,0.200872,-0.483242,1.626049,2.024140,-0.170758,noise
0.883003,0.043758,0.238285,-0.470993,2.759900,2.317178,0.110779,noise
0.903071,-0.090767,0.088721,-0.230334,3.081491,2.246176,-0.049258,noise
0.923138,-0.169927,-0.081318,0.102505,1.974508,1.947512,-0.571113,noise
0.943207,-0.064827,-0.088994,0.237906,0.911953,1.224053,-0.866556,noise
0.963275,0.201946,-0.078698,0.000866,0.752639,0.930495,-0.694635,noise
0.983344,0.492848,-0.112710,-0.146200,1.142215,0.883742,0.193351,noise
1.003411,0.373798,-0.261283,-0.127961,1.048695,0.908268,1.009386,noise
1.023481,0.303183,-0.244833,0.125334,0.234298,0.462186,1.057932,noise
1.043548,0.230072,-0.203087,0.082578,-0.216322,-0.126586,0.763570,noise
1.063616,0.223760,-0.100663,-0.039645,-0.189485,-0.430860,0.604918,noise
1.083684,0.254488,-0.055358,-0.145905,0.192752,-0.282099,0.678350,noise
1.103753,0.232346,-0.033300,-0.142964,0.589929,0.225888,0.904787,noise
1.123821,0.200841,-0.057827,-0.028617,0.709138,0.693488,1.095383,noise
1.143889,0.142223,-0.059891,0.083559,0.640786,0.889327,1.236663,noise
1.163957,0.087308,0.001116,0.095760,0.669299,0.839930,1.221236,noise
1.184026,0.017111,0.043659,0.077332,0.735782,0.929978,1.149355,noise
1.204094,-0.034165,0.112076,0.065056,0.853647,1.128155,1.196509,noise
1.224162,-0.089193,0.174329,0.099093,0.927560,1.430563,1.306325,noise
1.244230,-0.176375,0.206402,0.222296,0.587384,1.881071,1.323298,noise
1.264299,-0.236861,0.270065,0.363193,-0.083729,2.358667,1.275137,noise
1.284367,-0.204618,0.416720,0.153423,-0.150669,2.872534,1.287249,noise
1.304436,-0.224829,0.510155,-0.090333,0.546983,3.307979,1.245405,noise
1.324503,-0.265920,0.565884,-0.203632,1.481013,3.633021,1.098257,noise
1.344573,-0.339825,0.536662,-0.141782,1.871099,3.534412,0.752000,noise
1.364640,-0.385385,0.500425,0.006319,1.622409,2.948534,0.231672,noise
1.384708,-0.402963,0.450839,0.120744,0.935005,1.937560,-0.474402,noise
1.404776,-0.369198,0.395742,0.120735,0.228920,0.757565,-1.112700,noise
1.424845,-0.316211,0.313719,0.035508,-0.242869,-0.381443,-1.599968,noise
1.444913,-0.311828,0.247352,-0.009781,-0.574173,-1.308127,-2.055745,noise
1.464981,-0.321743,0.177564,-0.034215,-0.850199,-1.911563,-2.564589,noise
1.485049,-0.289215,0.115277,-0.048123,-1.112986,-2.166902,-3.010916,noise
1.505118,-0.163968,0.031926,-0.107853,-1.204509,-2.169574,-3.192962,noise
1.525186,0.027635,-0.091308,-0.210240,-1.043746,-1.943600,-2.969984,noise
1.545254,0.166990,-0.236853,-0.289873,-0.759398,-1.526646,-2.428791,noise
1.565322,0.226131,-0.306787,-0.396530,-0.276236,-0.954656,-1.777701,noise
1.585391,0.216390,-0.340230,-0.527368,0.452515,-0.237927,-1.242037,noise
1.605459,0.199732,-0.363250,-0.550914,1.199258,0.314366,-1.013955,noise
1.625527,0.236661,-0.392039,-0.522292,1.745813,0.475516,-0.843922,noise
1.645596,0.278648,-0.395990,-0.463362,2.154635,0.281133,-0.630739,noise
1.665664,0.285861,-0.314013,-0.450791,2.567850,0.164289,-0.474870,noise
1.685733,0.306217,-0.227708,-0.391561,3.034270,0.020356,-0.459721,noise
1.705800,0.368851,-0.182732,-0.265422,3.334222,-0.116846,-0.321552,noise
1.725868,0.428098,-0.166589,-0.093939,3.426937,-0.213177,-0.033344,noise
1.745937,0.421506,-0.113877,0.038660,3.366384,-0.167893,0.316478,noise
1.766005,0.340974,-0.014018,0.142830,3.228076,0.024157,0.683664,noise
1.786073,0.206915,0.098674,0.236410,3.010664,0.253644,0.925325,noise
1.806141,0.073908,0.210869,0.319901,2.663904,0.450644,1.017830,noise
1.826210,-0.044433,0.298551,0.390417,2.205121,0.591891,1.014712,noise
1.846278,-0.132627,0.355235,0.421051,1.542318,0.851729,0.942995,noise
1.866346,-0.209116,0.380149,0.443772,0.693458,1.031358,0.768722,noise
1.886414,-0.236443,0.379398,0.436052,-0.118053,0.839016,0.483121,noise
1.906483,-0.253292,0.389480,0.368882,-0.693773,0.498628,0.062287,noise
1.926551,-0.276977,0.377519,0.233234,-0.848219,0.152603,-0.379218,noise
1.946619,-0.232364,0.341214,0.097191,-0.749196,-0.035788,-0.628711,noise
1.966687,-0.217746,0.276606,0.021268,-0.567372,-0.027222,-0.665424,noise
1.986756,-0.198042,0.219379,0.014695,-0.613213,0.023915,-0.672176,noise
2.006824,-0.175696,0.196124,0.019892,-0.871283,0.016796,-0.655139,noise
2.026892,-0.146048,0.186082,-0.062994,-1.052136,-0.126575,-0.685084,noise
2.046960,-0.124662,0.199393,-0.151794,-1.116855,-0.257593,-0.704544,noise
2.067028,-0.080499,0.213288,-0.242476,-1.005427,-0.366894,-0.696816,noise
2.087097,-0.037609,0.172505,-0.308467,-0.626156,-0.510644,-0.766796,noise
2.107165,0.013450,0.121376,-0.274406,-0.279255,-0.685002,-0.844418,noise
2.127233,0.062633,0.060466,-0.178010,-0.167230,-0.842876,-0.897106,noise
2.147301,0.121404,-0.006367,-0.086657,-0.133508,-1.083198,-0.950522,noise
2.167370,0.169871,-0.082866,-0.001584,-0.225955,-1.299456,-0.920383,noise
2.187438,0.208937,-0.138761,0.038039,-0.331072,-1.355241,-0.762506,noise
2.207506,0.219899,-0.170018,0.014449,-0.252535,-1.229284,-0.564405,noise
2.227574,0.216974,-0.176320,-0.001249,-0.054012,-0.955057,-0.364004,noise
2.247643,0.188046,-0.174922,0.013332,0.106006,-0.564799,-0.154469,noise
2.267711,0.151545,-0.164452,0.036445,0.174567,-0.126748,0.052720,noise
2.287779,0.100744,-0.132081,0.009565,0.257904,0.268667,0.204111,noise
2.307847,0.049635,-0.100028,0.006981,0.300453,0.518476,0.239704,noise
2.327916,0.025178,-0.050086,-0.015493,0.387850,0.684652,0.181851,noise
2.347984,0.017577,-0.034506,-0.051132,0.567552,0.721566,0.101932,noise
2.368052,0.030798,-0.029235,-0.029361,0.623601,0.640950,0.086064,noise
2.388120,0.020593,-0.033507,0.004768,0.567949,0.489730,0.103976,noise
2.408189,-0.001511,-0.021757,0.029913,0.397337,0.374709,0.135382,noise
2.428257,-0.046214,-0.005076,0.030130,0.182255,0.278950,0.178807,noise
2.448325,-0.084670,0.027881,-0.005666,0.044219,0.204856,0.237376,noise
2.468393,-0.146651,0.051815,-0.041292,0.020734,0.080197,0.240308,noise
2.488461,-0.185115,0.097917,-0.048682,0.080622,-0.033282,0.089856,noise
2.508530,-0.197351,0.109095,-0.051180,0.287484,-0.145299,-0.233148,noise
2.528598,-0.118979,0.089555,-0.017729,0.450019,-0.164918,-0.504758,noise
2.548666,-0.042086,0.024659,0.056910,0.482776,-0.221267,-0.571402,noise
2.568734,0.060030,-0.014831,0.100386,0.438807,-0.177374,-0.442977,noise
2.588803,0.105708,-0.055176,0.119224,0.360734,-0.119816,-0.280939,noise
2.608871,0.120652,-0.068269,0.156778,0.206613,-0.170985,-0.141528,noise
2.628939,0.116326,-0.072898,0.148242,0.069162,-0.233431,-0.051826,noise
2.649007,0.118669,-0.071656,0.141008,-0.135530,-0.276406,0.050969,noise
2.669076,0.117320,-0.062313,0.129767,-0.346861,-0.297586,0.176004,noise
2.689144,0.083011,-0.024394,0.067471,-0.372612,-0.227301,0.292062,noise
2.709212,0.037597,0.024986,-0.025074,-0.157145,-0.031446,0.350673,noise
2.729280,-0.009477,0.053655,-0.056435,0.079482,0.195198,0.320098,noise
2.749349,-0.020126,0.084230,-0.032584,0.182123,0.325038,0.223878,noise
2.769417,-0.023461,0.083222,-0.019322,0.239433,0.295934,0.114825,noise
2.789485,0.003710,0.084650,0.009133,0.227735,0.168905,0.044709,noise
2.809553,0.014369,0.080690,0.038479,0.177289,0.006311,0.022452,noise
2.829622,0.013138,0.063313,0.059564,0.074280,-0.129552,-0.010473,noise
2.849690,-0.002528,0.065500,0.091104,-0.089160,-0.238704,-0.057827,noise
2.869758,-0.014728,0.057839,0.090897,-0.205752,-0.291398,-0.085158,noise
2.889826,-0.003665,0.063852,0.060880,-0.200602,-0.267588,-0.096470,noise
2.909894,0.000364,0.061903,0.049402,-0.153802,-0.170456,-0.107220,noise
2.929963,0.006879,0.043072,0.056726,-0.133237,-0.048566,-0.086006,noise
2.950031,0.011154,0.021696,0.078292,-0.183891,0.040208,-0.028615,noise
2.970099,0.007032,0.013789,0.088848,-0.279517,0.083030,0.001764,noise
2.990167,0.011004,0.016664,0.059861,-0.297295,0.072269,0.004920,noise
3.010236,0.002778,0.018493,0.036646,-0.262555,0.053007,0.003924,noise
3.030304,-0.009943,0.019826,0.024602,-0.264970,0.041857,-0.003234,noise
3.050372,-0.010755,0.026608,0.046723,-0.396583,0.020984,0.009462,noise
3.070440,-0.027508,0.022719,0.034036,-0.551790,0.060340,0.048581,noise
3.090509,-0.043683,0.032237,-0.024831,-0.614267,0.173854,0.121633,noise
3.110577,-0.081732,0.032866,-0.087876,-0.537630,0.189444,0.163972,noise
3.130645,-0.115955,0.051720,-0.097928,-0.500464,0.039268,0.109949,noise
3.150713,-0.160328,0.070547,-0.111492,-0.465771,-0.247461,-0.052153,noise
3.170782,-0.178044,0.070637,-0.106595,-0.489254,-0.555591,-0.211106,noise
3.190850,-0.156006,0.084974,-0.088780,-0.606045,-0.771233,-0.273337,noise
3.210918,-0.130920,0.091221,-0.118743,-0.618810,-0.849775,-0.238084,noise
3.230986,-0.157395,0.085000,-0.156864,-0.459429,-0.921775,-0.248857,noise
3.251054,-0.169868,0.096017,-0.120908,-0.380768,-1.084750,-0.370335,noise
3.271123,-0.219346,0.047203,-0.046969,-0.451140,-1.289457,-0.595620,noise
3.291191,-0.183699,-0.011130,-0.003286,-0.520198,-1.417437,-0.951109,noise
