timestamp,ax,ay,az,gx,gy,gz,label
0.000000,-0.009292,-0.024056,-0.027840,0.027445,-0.086710,0.032753,rotate
0.020068,-0.011071,-0.013695,-0.031141,0.057146,-0.156064,-0.026827,rotate
0.040136,-0.036184,0.009249,-0.050699,0.008155,0.016136,-0.103743,rotate
0.060204,-0.040903,-0.004434,-0.004448,-0.072452,0.017640,-0.128535,rotate
0.080272,-0.036715,-0.011328,0.020719,-0.196679,-0.008942,-0.131232,rotate
0.100340,-0.049557,-0.017859,0.001113,-0.360355,0.017045,-0.177727,rotate
0.120408,0.003888,-0.022984,0.029951,-0.409122,-0.046583,-0.193426,rotate
0.140476,-0.019759,-0.024699,0.062603,-0.337158,-0.193791,-0.246458,rotate
0.160544,-0.025458,0.004942,0.003889,-0.205792,-0.082183,-0.313002,rotate
0.180612,-0.071880,-0.006979,-0.041775,-0.028397,-0.155083,-0.385152,rotate
0.200680,-0.037254,-0.072244,-0.023785,0.003973,-0.329853,-0.420681,rotate
0.220749,-0.020744,-0.075141,-0.037221,0.040403,-0.376866,-0.455204,rotate
0.240817,-0.008026,-0.022146,0.031006,0.034885,-0.452774,-0.494483,rotate
0.260885,-0.037996,0.047625,0.032870,-0.007037,-0.211645,-0.578200,rotate
0.280953,-0.030761,0.078421,0.038552,-0.104923,0.184217,-0.576594,rotate
0.301021,0.147469,-0.027794,0.113105,-0.146230,-0.082108,-0.548269,rotate
0.321089,-0.068346,-0.137491,0.016920,-0.036540,-0.292246,-0.673894,rotate
0.341157,-0.117763,0.005408,-0.003793,-0.047295,-0.443162,-0.878097,rotate
0.361225,-0.020687,0.110273,0.050955,-0.124343,-0.507533,-0.942182,rotate
0.381293,0.038356,-0.007122,-0.054820,-0.004997,-0.318794,-1.156457,rotate
0.401361,0.010384,-0.050954,-0.051723,0.163413,-0.084687,-1.410949,rotate
0.421429,-0.021210,-0.073962,0.002906,0.179298,-0.034879,-1.614556,rotate
0.441497,-0.095614,-0.057864,-0.052550,0.171582,0.018248,-1.903727,rotate
0.461565,-0.137792,-0.004038,-0.147009,0.296056,0.159902,-2.227232,rotate
0.481633,-0.108811,-0.014443,-0.102813,0.517826,0.271986,-2.648970,rotate
0.501701,-0.072902,-0.047479,-0.024810,0.653688,0.266508,-2.934265,rotate
0.521769,-0.121989,-0.004524,0.061602,0.456321,0.061389,-3.167045,rotate
0.541837,-0.218687,0.061442,0.075697,0.201443,-0.210387,-3.502939,rotate
0.561907,-0.203134,0.073804,0.027589,0.139789,-0.324362,-3.784971,rotate
0.581975,-0.179468,0.090574,-0.066178,0.007930,-0.493867,-4.151823,rotate
0.602043,-0.125458,0.123101,-0.006782,-0.164820,-0.663830,-4.501043,rotate
0.622111,-0.179181,0.293864,0.018487,-0.162185,-1.184047,-4.833347,rotate
0.642179,-0.196343,0.416333,0.192041,-0.362625,-2.159952,-4.977744,rotate
0.662247,-0.211715,0.125905,0.226714,-1.088595,-1.442995,-5.329182,rotate
0.682315,-0.158147,0.204535,0.171506,-1.682147,-0.248220,-5.619930,rotate
0.702383,-0.126189,0.267021,0.059420,-1.871515,0.830091,-5.922015,rotate
0.722451,-0.146071,0.285438,-0.028692,-1.621891,1.475806,-6.402393,rotate
0.742519,-0.121265,0.356032,-0.113265,-0.980052,1.232561,-6.801443,rotate
0.762587,0.120691,0.402131,-0.056796,-0.239001,-0.457927,-5.947048,rotate
0.782655,0.138073,0.274859,-0.156722,0.346060,-1.781905,-4.385317,rotate
0.802723,0.111056,0.119444,-0.083675,0.135588,-0.735473,-2.723092,rotate
